sample_name,tsp_length,tsp_GC_per,tsp_GC_skew,rib_length,rib_GC_per,rib_GC_skew,tsp_GC3s,rib_GC3s,tsp_cost_per_aa,rib_cost_per_aa,tsp_ENc,rib_ENc,ENc_diff,rib_GC3s_skew,tsp_GC3s_skew,fungi_gs,fungi_gc_genome
DYS3,459.084310006097,49.2580699139625,-0.303626787,458.351421480144,51.7911383122744,-0.374496841,0.5920069,0.619011,24.01652,23.6582,50.439526053497,50.8315472294323,-0.007772103,-0.030401016,-0.03091016,44.4502315760081,47.0160010546822
DYS4,482.394444608961,49.620696496787,-0.464115017,461.731989503817,51.597539360687,-0.439680344,0.5939535,0.615333,23.95565,23.65097,50.5430268539925,50.0869789925997,0.009022963,-0.036434495,-0.03238745,48.4774799494689,48.1968660905528
DYS5,489.976828714221,49.0466269877329,-0.435188551,473.848819169109,51.4940717117738,-0.463437338,0.5908077,0.6171948,24.05002,23.69081,50.4396992310142,49.8096257975513,0.012491618,-0.03418934,-0.03144058,54.0353605497154,47.7259287578646
EMS1,507.721236212978,48.2622816191703,-0.136737249,468.279501599922,50.0264578687094,0.00995539610200719,0.5827432,0.6011354,24.14645,23.88604,49.9092571870655,49.6203972223571,0.005787703,-0.034059141,-0.02887837,47.6386360961051,49.5415497744845
EMS2,481.518743863094,48.5319585495862,-0.098604468,457.345844013182,50.3127499084584,-0.06887587,0.5861388,0.604441,24.15401,23.89284,50.1121963592957,50.4466442624954,-0.006673982,-0.032366131,-0.02816174,58.9865110479224,48.9943513152814
EMS3,476.62290525105,48.4338298960014,-0.081985239,452.661034965035,50.4596425174825,-0.035755524,0.5853373,0.6072443,24.17102,23.85135,49.8122951448858,50.013854854967,-0.004046385,-0.031886427,-0.0276103,52.8548809177871,49.1982048995256
EMS4,489.888530170609,47.9575073282092,-0.093552392,457.194479561736,50.0610914454277,-0.080967657,0.5797538,0.6013843,24.24736,23.90504,50.2633318456607,50.25759017,0.000114232,-0.0341236,-0.02737158,59.8602569794798,49.3040144564726
EMS5,467.737377615665,49.3692109809944,-0.029297719,444.082971924218,51.7658086053412,0.0144915544396257,0.5930621,0.6172395,24.02875,23.6735,51.1335321557734,51.6319064481124,-0.009746526,-0.027293836,-0.02808046,51.3273134251489,48.7481331440149
GH1,463.694953194953,50.9252380952381,0.00791412291412288,479.877886323268,53.3673046181172,-0.046394316,0.6059468,0.6311711,23.72469,23.35593,53.0062749490835,54.3746331702979,-0.025815023,-0.020673985,-0.02339286,54.2362270456853,48.7532591342581
GH2,443.527830728174,52.9485798703774,0.0379155547083492,454.0246939,54.1374081759701,-0.196995227,0.6251334,0.6366802,23.39838,23.20039,53.4661759374106,54.5641794765268,-0.020536414,-0.027069392,-0.02853122,59.0021386367392,48.0360373067619
